Item_ID,Item_Type,Item_Name,Item_Sprite,Item_AbilityRatio,Item_AbilityCount,Base_Level,Base_MinDMG,Base_MaxDMG,Base_DEF,Base_HP,Ability_MagicDMG,Ability_Speed,Ability_DMGall,Ability_Counter,Ability_Regen,Ability_Evasion,Ability_Vamp,Ability_DEF
100,armor,Armor,100_armor_base1_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
101,armor,Armor,101_armor_base2_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
102,armor,Armor,102_armor_base3_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
103,armor,Armor,103_armor_magicDMG_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
104,armor,Armor,104_armor_magicDMG_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
105,armor,Armor,105_armor_magicDMG_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
106,armor,Armor,106_armor_speed_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
107,armor,Armor,107_armor_speed_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
108,armor,Armor,108_armor_speed_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
109,armor,Armor,109_armor_DMGall_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
110,armor,Armor,110_armor_DMGall_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
111,armor,Armor,111_armor_DMGall_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
112,armor,Armor,112_armor_counter_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
113,armor,Armor,113_armor_counter_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
114,armor,Armor,114_armor_counter_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
115,armor,Armor,115_armor_regen_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
116,armor,Armor,116_armor_regen_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
117,armor,Armor,117_armor_regen_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
118,armor,Armor,118_armor_evasion_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
119,armor,Armor,119_armor_evasion_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
120,armor,Armor,120_armor_evasion_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
121,armor,Armor,121_armor_vamp_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
122,armor,Armor,122_armor_vamp_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
123,armor,Armor,123_armor_vamp_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
124,armor,Armor,124_armor_DEF_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
125,armor,Armor,125_armor_DEF_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
126,armor,Armor,126_armor_DEF_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
200,ring,Ring,200_ring_magicDMG_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
201,ring,Ring,201_ring_magicDMG_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
202,ring,Ring,202_ring_magicDMG_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
203,ring,Ring,203_ring_magicDMG_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
204,ring,Ring,204_ring_speed_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
205,ring,Ring,205_ring_speed_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
206,ring,Ring,206_ring_speed_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
207,ring,Ring,207_ring_speed_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
208,ring,Ring,208_ring_DMGall_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
209,ring,Ring,209_ring_DMGall_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
210,ring,Ring,210_ring_DMGall_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
211,ring,Ring,211_ring_DMGall_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
212,ring,Ring,212_ring_counter_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
213,ring,Ring,213_ring_counter_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
214,ring,Ring,214_ring_counter_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
215,ring,Ring,215_ring_counter_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
216,ring,Ring,216_ring_regen_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
217,ring,Ring,217_ring_regen_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
218,ring,Ring,218_ring_regen_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
219,ring,Ring,219_ring_regen_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
220,ring,Ring,220_ring_evasion_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
221,ring,Ring,221_ring_evasion_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
222,ring,Ring,222_ring_evasion_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
223,ring,Ring,223_ring_evasion_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
224,ring,Ring,224_ring_vamp_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
225,ring,Ring,225_ring_vamp_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
226,ring,Ring,226_ring_vamp_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
227,ring,Ring,227_ring_vamp_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
228,ring,Ring,228_ring_DEF_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
229,ring,Ring,229_ring_DEF_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
230,ring,Ring,230_ring_DEF_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
231,ring,Ring,231_ring_DEF_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
300,shield,Shield,300_shield_base1_normal,1,1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
301,shield,Shield,301_shield_base2_normal,1,1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
302,shield,Shield,302_shield_base3_normal,1,1,1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
303,shield,Shield,303_shield_magicDMG_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
304,shield,Shield,304_shield_magicDMG_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
305,shield,Shield,305_shield_magicDMG_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
306,shield,Shield,306_shield_speed_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
307,shield,Shield,307_shield_speed_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
308,shield,Shield,308_shield_speed_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
309,shield,Shield,309_shield_DMGall_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
310,shield,Shield,310_shield_DMGall_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
311,shield,Shield,311_shield_DMGall_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
312,shield,Shield,312_shield_counter_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
313,shield,Shield,313_shield_counter_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
314,shield,Shield,314_shield_counter_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
315,shield,Shield,315_shield_regen_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
316,shield,Shield,316_shield_regen_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
317,shield,Shield,317_shield_regen_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
318,shield,Shield,318_shield_evasion_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
319,shield,Shield,319_shield_evasion_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
320,shield,Shield,320_shield_evasion_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
321,shield,Shield,321_shield_vamp_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
322,shield,Shield,322_shield_vamp_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
323,shield,Shield,323_shield_vamp_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
324,shield,Shield,324_shield_DEF_rare,0.8,2,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
325,shield,Shield,325_shield_DEF_epic,0.6,3,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
326,shield,Shield,326_shield_DEF_legend,0.5,4,1,-1,-1,4,-1,2,4,2,4,0.6,4,4,2
400,weapon,Sword,400_weapon_base1_normal,1,1,1,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
401,weapon,Axe,401_weapon_base2_normal,1,1,1,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
402,weapon,Dagger,402_weapon_base3_normal,1,1,1,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
403,weapon,Ritual Dagger,403_weapon_magicDMG_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
404,weapon,Ritual Dagger,404_weapon_magicDMG_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
405,weapon,Ritual Dagger,405_weapon_magicDMG_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
406,weapon,Scimitar,406_weapon_speed_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
407,weapon,Scimitar,407_weapon_speed_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
408,weapon,Scimitar,408_weapon_speed_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
409,weapon,Mace,409_weapon_DMGall_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
410,weapon,Mace,410_weapon_DMGall_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
411,weapon,Mace,411_weapon_DMGall_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
412,weapon,Spear,412_weapon_counter_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
413,weapon,Spear,413_weapon_counter_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
414,weapon,Spear,414_weapon_counter_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
415,weapon,Broken Longsword,415_weapon_regen_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
416,weapon,Broken Longsword,416_weapon_regen_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
417,weapon,Broken Longsword,417_weapon_regen_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
418,weapon,Dirk,418_weapon_evasion_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
419,weapon,Dirk,419_weapon_evasion_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
420,weapon,Dirk,420_weapon_evasion_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
421,weapon,Rapier,421_weapon_vamp_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
422,weapon,Rapier,422_weapon_vamp_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
423,weapon,Rapier,423_weapon_vamp_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
424,weapon,Halberd,424_weapon_DEF_rare,0.8,2,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
425,weapon,Halberd,425_weapon_DEF_epic,0.6,3,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
426,weapon,Halberd,426_weapon_DEF_legend,0.5,4,1,4,6,-1,-1,2,4,2,4,0.6,4,4,2
